nombre git,nombre,encabezado,name,tipo,estado,autor,tags,notas de forma,notas de contenido,videos,video comp 1,video comp 2,Columna 1,Columna 2
insp-sole-unal,SOLE en la U: ¿Qué significa el agua para ti y tu comunidad?  ,,What does water mean to you and your community? National University of Colombia Students,Inspiración,Por hacer,,"Historias potentes, De Voltaje a SOLE","las dos carpetas tienen contenido de la misma entrada de página, no sé por qué se generaron 2 carpetas de assets",No dice nada… toca construirlo mejor. soleunacional > sole-unal,,,,,
insp-solecolombia-in-thailand,¡SOLE Colombia llega a Tailandia! ,,SOLE Colombia arrives in Thailand!,Inspiración,Publicado,,Historias potentes,,,https://www.youtube.com/embed/bNakrhUveBU,,,,
insp-solecolombia-is-us,SOLE Colombia somos TODOS ,,SOLE Colombia is all of us,Inspiración,Modificar,,"De Voltaje a SOLE, Historias potentes",,Ajustar para vincular más cercanamente a las personas con SOLE,https://www.youtube.com/embed/JfFdzgHIWqk,,,,
insp-solelab-boca-camarones,Construimos un SOLE Lab en la Guajira para usar el internet en grupo,,The SOLE Lab: The Library of the Future - Discover what life is like in Boca de Camarones,Inspiración,Modificar,,"De Voltaje a SOLE, Historias potentes",,Enmarcar mejor en la BFF,,,,,
insp-solelab-tambo,¡El segundo SOLE Lab ya está en el Cauca! ¿Te gustaría ser parte de la Biblioteca del Futuro?,,We inaugurated our second SOLE Lab in El Tambo-Cauca,Inspiración,Modificar,,"De Voltaje a SOLE, Historias potentes",,Ajustes en torno a la definición de la BBF + invitar a ser parte de la BBF,www.youtube.com/embed/mv24dQOpbFM?si=gJ4BSfbe33XJb9NG,,,,
insp-solved-on-my-own,¿Has solucionado algún problema tecnológico por tu cuenta?,,,Inspiración,Por hacer,,"Vamos a romper, Te ha pasado",,,,,,,
insp-speed-access-info,¿Te ha pasado que un video carga más rápido en el celular de otra persona?,,How quickly can information be accessed on the Internet?,Inspiración,Publicado,Sanjay,"Sobre el internet, Te ha pasado, Preguntas incómodas",,Relación con desconectado,,,,,
insp-sth-broke-at-home,¿Qué haces cuando se daña algo en casa?,,,Inspiración,Por hacer,,"Te ha pasado, Vamos a romper",,,,,,,
insp-tinkerer-corner,La esquina del cacharreo ,,Cacharreo corner,Inspiración,Modificar,Nicolás,Vamos a romper,ajuste: cacharreocorner > tinkerer-corner,Está como muy volada. Dejaría solo la parte de la historia de cómo Nico se convirtió en cacharrero.,,,,,
insp-tinkerer-inspiration,"En grupo, solucionamos mejor",,Cacharrera’s Inspiration,Inspiración,Modificar,Mateo,"Historias potentes, Sobre el internet",,Vincular historias potentes de lugares concretos + darle un poco más de fuerza,,,,,
